"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
	2013	4	22	1	16	32	5752		"MEXICO:  MICHOACAN: LAZARO CARDENAS"	18.081	-102.182	30	6	6																								
	2013	5	11	2	8	8.5			"IRAN:  HORMOZGAN: BASHAGARD"	26.56	57.77	15	6.1		2	1			20	1		2				3	2	1			20	1		2				3
	2013	5	24	5	44	48.9			"RUSSIA:  SEVERO KURILSKIYE"	54.892	153.221	598	8.3																									
	2013	6	2	5	43	3.4			"TAIWAN:  JENAI"	23.789	121.141	17	6.3		4	1			21	1		1					4	1			21	1		1				
	2013	6	15	16	11	2	5793		"GREECE:  CRETE"	34.4	25.02	10	6.2	3																								
	2013	7	2	7	37	2.6			"INDONESIA:  BANDA ACEH"	4.645	96.665	13	6.1		48	1			2532	4	113	4	20401	4			48	1			2532	4	113	4	20401	4		
	2013	7	21	5	9	31.4	5491		"NEW ZEALAND:  COOK STRAIT"	-41.704	174.337	17	6.5						5	1		1			35	1					5	1		1			35	1
	2013	7	21	23	45	56.6			"CHINA:   GANSU:  DINGXI, MIN"	34.512	104.262	8	6		94	2	5	1	1001	4	466	4	1968	4	22496	4	94	2	5	1	1001	4	466	4	1968	4	22496	4
	2013	8	16	2	31	47	5519		"NEW ZEALAND:  WELLINGTON, MARLBOROUGH"	-41.731	174.027	12	6.5	6						2		2		2		2						2		2		2		2
	2013	8	21	12	38	7			"MEXICO:  SAN MARCOS, ACAPULCO"	16.878	-99.498	21	6.2	8					1	1		1				1					1	1		1				1
	2013	9	7	0	13	57			"GUATEMALA:  COATEPEQUE, QUETZALTENANGO"	14.606	-92.121	66	6.4	7	1	1			11	1		1	3	1			1	1			11	1		1	3	1		
	2013	9	24	11	30	37	5506		"PAKISTAN:  AWARAN, KECH"	26.951	65.501	15	7.7	4	825	3			619	3		4	32638	4	14118	4	825	3			619	3		4	32638	4	14118	4
	2013	9	25	16	42	0			"PERU:  AREQUIPA"	-16.15	-74.87	31	7.1	6								1		1										1		1		
	2013	9	28	7	34	45			"PAKISTAN: AWARAN"	27.183	65.505	12	6.8		22	1			50	1				2		2	22	1			50	1				2		2
	2013	10	12	13	11	35	5794		"GREECE:  CRETE:  CHANIA"	35.514	23.252	40	6.6	7					1	1		1				1					1	1		1				1
	2013	10	15	0	12	5			"PHILIPPINES:  BOHOL, CEBU, SIQUIJOR IS"	9.88	124.117	19	7.1	7	222	3	8	1	976	3	51.8	4		4		4	222	3	8	1	976	3	51.8	4		4		4
	2013	10	25	17	10	0	5533		"JAPAN:  HONSHU:  E COAST"	37.2	144.6	10	7.1	4					1	1											1	1						
	2013	11	17	9	4	53	5534		"SCOTIA SEA:  SOUTH ORKNEY ISLANDS"	-60.274	-46.401	10	7.7																									
	2014	1	13	4	1	24			"PUERTO RICO"	19.043	-66.81	20	6.4	5								1												1				
	2014	1	20	2	52	35			"NEW ZEALAND: WELLINGTON, MANAWATU-WANGANUI"	-40.66	175.814	28	6.1	7								1				1								1				1
	2014	1	25	5	14	51			"INDONESIA:  JAVA:  BANYUMAS"	-7.986	109.265	66	6.1	5								1	1	1		2								1	1	1		2
	2014	1	26	13	55	21			"GREECE:  KEFALONIA"	38.208	20.453	8	6.1	7					6	1	178	4				1					6	1	178	4				1
	2014	2	3	3	8	29			"GREECE:  KEFALONIA:  LIXOURION"	38.244	20.379	4	6	3					16	1		1				1					16	1		1				1
	2014	2	12	9	19	6			"CHINA:  XINJIANG PROVINCE:  YUTIAN"	35.905	82.586	10	6.9									3	67	2	1001	4								3	67	2	1001	4
	2014	3	13	17	7	17			"JAPAN:  SOUTHWESTERN"	33.684	131.825	79	6.3	5					18	1		1									18	1		1				
	2014	3	16	21	16	0	5555		"CHILE:  IQUIQUE"	-19.965	-70.814	21	6.7	6								1												1				
	2014	4	1	23	46	26	5557		"CHILE:  NORTHERN:  IQUIQUE, ALTO HOSPICIO"	-19.61	-70.769	25	8.2	8	7	1					100	4			2600	4	7	1					100	4			2600	4
	2014	4	3	2	43	11	5558		"CHILE:  NORTHERN:  IQUIQUE"	-20.571	-70.493	22	7.7	8																								
	2014	4	10	23	27	6			"NICARAGUA:  NAGAROTE, MANAGUA"	12.403	-86.378	13	6.1		2	1			250	3	3	2	168	3	2210	4	2	1			250	3	3	2	168	3	2210	4
	2014	4	11	7	7	13			"PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND"	-6.586	155.049	61	7.1		1	1						1	51	2			1	1						1	51	2		
	2014	4	12	20	14	3	5559		"SOLOMON ISLANDS"	-11.27	162.148	23	7.6																									
	2014	4	13	12	36	23	5560		"SOLOMON ISLANDS"	-11.463	162.051	39	7.4																									
	2014	4	18	14	28	32	5563		"MEXICO:  GUERRERO; MEXICO CITY"	17.397	-100.972	24	7.2	6								1			127	2								1			127	2
	2014	4	19	13	29	21	5564		"PAPUA NEW GUINEA:  SOLOMON SEA"	-6.755	155.024	43	7.5																									
	2014	5	5	11	8	42			"THAILAND:  CHIANG RAI"	19.656	99.67	6	6.1	5	1	1			32	1	62	4	20	1		3	1	1			32	1	62	4	20	1		3
	2014	5	8	17	1	21			"MEXICO:  TECPAN"	17.235	-100.746	17	6.4	5								1				1								1				1
	2014	5	24	9	25	5	5790		"GREECE, TURKEY"	40.24	25.33	23	6.9	7	3	1			310	3	450	4		1		2	3	1			310	3	4500	4		1		2
	2014	6	23	19	20	34	5572		"KERMADEC ISLANDS: SSE OF RAOUL ISLAND"	-29.977	-177.725	20	6.9																									
	2014	6	23	20	53	7	5571		"ALASKA:  ALEUTIAN ISLANDS"	51.849	178.735	109	7.9																									
	2014	7	7	11	23	7			"MEXICO; GUATEMALA:  SAN MARCOS"	14.728	-92.578	67	6.9	5	3	1			33	1		1		1	50	1	3	1			33	1		1		1	50	1
	2014	7	11	19	23	22	5574		"JAPAN:  SANRIKU"	37.005	142.453	20	6.5	5					3	1											3	1						
	2014	7	25	10	55	12	5575		"ALASKA:  SOUTHEASTERN"	58.306	-136.96	10	6.1	4																								
	2014	7	29	10	46	7			"MEXICO:  OAXACA"	17.682	-95.653	107	6.3	5	1	1			1	1		2				2	1	1			1	1		2				2
	2014	8	3	8	30	57			"CHINA:  YUNNAN:  LUDIAN:   LONGTOUSHAN, ZHAOTONG"	27.189	103.409	12	6.2		615	3	114	3	3143	4		3	25800	4	160400	4	615	3	114	3	3143	4		3	25800	4	160400	4
	2014	8	18	2	32	2			"IRAN:  ILAM PROVINCE:  ABDANAN"	32.663	47.673	6	6.2	3					330	2		1	2700	4	17000	4					330	2		4	2700	4	17000	4
	2014	8	24	10	20	6			"CALIFORNIA:  NAPA, VALLEJO"	38.216	-122.312	11	6.1	8	1	1			257	3	700	4	160	3	1034	4	1	1			257	3	700	4	160	3	1034	4
	2014	10	7	13	50	12			"CHINA:   YUNNAN PROVINCE:  YONGPING"	23.383	100.47	9	6.1		1	1			323	3		1		1			1	1			323	3		1		1		
	2014	10	9	2	14	44	5577		"CHILE: EASTER ISLAND REGION"	-32.108	-110.811	17	7																									
	2014	10	14	3	51	46	5607		"EL SALVADOR:  GULF OF FONSECA"	12.526	-88.123	40	7.3	7	1	1						1	5	1	41	1	1	1						1	5	1	41	1
	2014	11	15	2	32	12	5578		"INDONESIA:  N. MOLUCCAS ISLANDS"	1.893	126.522	45	7.1	5																								
	2014	11	22	13	8	42			"JAPAN:  NAGANO:  HAKUBA, OTARI"	36.641	137.888	9	6.2	9					45	1		1	50	1		2					45	1		1	50	1		2
	2015	2	16	23	6	27	5580		"JAPAN:  HONSHU"	39.856	142.881	23	6.7	4																								
	2015	2	19	13	19	21	5582		"VANUATU ISLANDS"	-16.431	168.148	10	6.4	5								1				1								1				1
	2015	3	10	20	55	2			"COLOMBIA:  ANTIOQUIA, SANTANDER"	6.8	-73.01	184	6.2	5								3	180	3	2167	4								3	180	3	2167	4
	2015	3	29	23	48	1	5581		"PAPUA NEW GUINEA"	-4.729	152.562	41	7.5	6																								
	2015	4	20	1	42	38			"TAIWAN:  TAIPEI"	24.203	122.316	29	6.4	4	1	1			1	1		1			19	1	1	1			1	1		1			19	1
	2015	4	25	6	12	35			"NEPAL:   KATHMANDU; INDIA; CHINA; BANGLADESH"	28.231	84.731	8	7.8	8	8957	4	3	1	24000	4	6000	4	498852	4	256697	4	8957	4	3	1	24000	4	6000	4	498852	4	256697	4
	2015	5	5	1	44	38	5583		"PAPUA NEW GUINEA"	-5.462	151.875	55	7.5									1				1								1				1
	2015	5	12	7	6	13			"NEPAL:   DOLAKHA"	27.809	86.066	15	7.3	7	117	3			2800	4		2		2			117	3			2800	4		2		2		
	2015	5	30	11	23	11			"JAPAN:  BONIN ISLANDS [CHICHIJIMA ISLAND]"	27.839	140.493	664	7.8	6					12	1											12	1						
	2015	6	4	23	16	31			"MALAYSIA:  SABAH:  LAHAD,DATU,KANAK"	5.987	116.541	10	6	6	18	1				2		1			23	1	18	1				2		1			23	1
	2015	7	3	1	7	1			"CHINA:  S. XINJIANG:  HOTAN"	37.6	78.2	10	6.4		3	1			263	3		3	3000	4			3	1			263	3		3	3000	4		
	2015	7	3	6	43	54			"PHILIPPINES:  MINDANAO"	10.169	125.891	32	6.1		1	1											1	1										
	2015	7	10	4	12	54	5589		"SOLOMON ISLANDS"	-9.307	158.403	12	6.7																									
	2015	7	18	2	28	22	5588		"SOLOMON ISLANDS"	-10.401	165.141	11	7	8																								
	2015	7	27	4	49	0	5591		"ALASKA"	52.214	-169.399	23	6.9																									
	2015	7	27	21	42	11			"INDONESIA:  PAPUA"	-2.629	138.528	48	7	5	1	1						1	1	1	6	1	1	1						1	1	1	6	1
	2015	9	16	22	55	26	5590		"CHILE:  CENTRAL"	-31.573	-71.674	22	8.3	9	7	1	1	1	14	1	600	4	2305	4	10044	4	15	1	1	1	14	1	600	4	2305	4	10044	4
	2015	9	24	15	53	0			"INDONESIA:  SORONG"	-0.59	131.27	10	6.6	5					62	2		2			260	3					62	2		2			260	3
	2015	10	26	9	9	56			"AFGHANISTAN: HINDU KUSH"	36.524	70.368	231	7.5	7	399	3			1770	4	109	4	29230	4	79893	4	399	3			1770	4	109	4	29230	4	79893	4
	2015	11	4	3	44	19			"INDONESIA:  EAST NUSA TENGGARA:  ALOR"	-8.338	124.875	20	6.5	5					3	1	9	3			1468	4					3	1	9	3			1468	4
	2015	11	11	1	54	37	5592		"CHILE:  LA SERENA"	-29.439	-72.105	10	6.9	7																								
	2015	11	13	20	51	3	5593		"JAPAN:  KYUSYU ISLAND"	31.001	128.873	12	6.7	4																								
	2015	11	17	7	10	3	5594		"GREECE:  LEFKADA, KEFALONIA, ITHACA"	38.67	20.6	11	6.5		2	1			4	1		2	1	1		2	2	1			4	1		2	1	1		2
	2015	11	18	18	31	57	5722		"SOLOMON ISLANDS"	-8.899	158.422	13	6.8	4																								
	2015	11	24	22	45	0			"PERU-BRAZIL"	-10.77	-71.41	636	7.6	4																								
	2015	11	24	22	50	0			"PERU-BRAZIL"	-10.07	-70.98	606	7.6	4																								
